Index	Name	1	2	3	4	5	6
1	A0	-0.01	-0.02	0.00	-0.01	0.00	0.01
2	A1	0.01	0.01	0.01	0.01	0.00	0.00
3	A2	-0.02	0.00	-0.03	0.00	0.00	-0.03
4	A3	0.01	-0.01	0.00	-0.02	0.02	0.02
6	A6	0.04	0.00	0.02	-0.03	0.03	0.04
7	A7	0.02	-0.01	0.00	-0.03	0.02	0.03
8	A8	0.07	0.02	0.00	-0.05	0.07	0.05
9	A9	-0.01	-0.02	0.01	0.00	-0.02	0.01
10	A10	-0.01	-0.01	-0.01	-0.02	0.01	0.01
11	A11	0.04	0.03	0.02	0.01	0.02	0.01
12	A12	-0.02	0.00	-0.02	0.00	0.00	-0.02
13	A13	0.01	-0.01	0.01	-0.01	0.00	0.01
14	B0	0.00	0.00	0.02	0.01	-0.01	0.00
15	B1	0.00	0.02	0.00	0.02	0.00	-0.02
16	B2	0.00	0.01	-0.02	-0.02	0.02	-0.01
17	B3	0.01	-0.01	0.02	0.00	-0.02	0.02
18	B4	0.01	0.01	0.02	0.01	0.00	0.00
19	B5	0.00	0.01	-0.02	-0.02	0.02	0.00
20	B6	-0.01	-0.01	0.00	0.00	-0.01	0.01
21	B7	0.01	0.00	0.00	-0.01	0.01	0.01
22	B8	0.02	0.00	0.02	-0.01	0.01	0.02
23	B9	0.00	-0.01	-0.01	-0.01	0.00	0.01
24	B10	-0.01	-0.05	-0.02	-0.05	0.00	0.04
25	B11	0.01	-0.01	0.00	-0.02	0.01	0.02
26	C0	-0.01	0.00	-0.02	0.00	0.01	-0.01
27	C1	-0.02	-0.01	-0.01	-0.01	0.00	0.00
28	C11	0.00	-0.01	0.00	-0.02	0.00	0.02
29	C12	0.01	-0.01	0.00	-0.02	0.01	0.02
30	C13	0.01	-0.01	0.01	0.00	0.00	0.02
31	C14	0.00	0.02	-0.02	0.00	0.02	-0.02
32	C15	-0.01	0.00	0.00	0.01	-0.01	-0.01
33	C16	0.00	0.00	-0.01	-0.02	0.02	0.01
34	C17	0.01	0.01	0.01	0.01	0.00	0.00
35	C18	0.01	0.00	0.02	0.00	0.00	0.01
36	C19	0.01	0.02	0.00	0.01	0.00	-0.01
37	C20	0.01	0.02	-0.01	0.00	0.02	-0.01
38	C21	0.01	0.01	-0.01	-0.01	0.01	0.00
39	D0	0.02	0.00	0.01	-0.01	0.01	0.02
40	D1	0.00	0.02	0.00	0.01	0.00	-0.01
41	D2	-0.01	0.00	0.01	0.02	-0.02	0.00
42	D3	-0.03	-0.03	-0.04	-0.05	0.01	0.01
43	D4	0.00	0.00	-0.01	-0.01	0.01	0.00
44	D5	-0.02	-0.05	-0.04	-0.06	0.02	0.02
45	D6	-0.01	-0.03	-0.01	-0.03	0.00	0.02
46	D7	0.02	0.02	0.03	0.03	-0.01	0.00
47	D8	-0.01	-0.01	0.00	0.00	0.00	0.00
48	D9	-0.02	-0.01	-0.01	0.00	-0.01	-0.01
49	D10	-0.03	-0.01	-0.03	0.00	0.00	-0.02
50	D11	0.00	0.00	0.00	0.00	0.00	0.01
51	D12	0.00	0.00	-0.02	-0.02	0.02	0.00
52	D13	0.02	0.02	0.01	0.01	0.01	0.00
53	E0	0.02	-0.01	-0.04	-0.06	0.05	0.03
54	E1	0.02	0.01	0.00	-0.01	0.02	0.01
55	E2	0.06	0.03	0.03	0.01	0.02	0.03
56	E3	0.00	0.00	0.02	0.01	-0.01	0.00
57	E4	0.00	0.04	0.04	0.07	-0.04	-0.04
58	E5	0.04	0.01	0.02	-0.01	0.02	0.03
59	E6	0.00	0.01	-0.01	0.00	0.01	-0.01
60	E7	0.01	0.00	-0.01	-0.01	0.01	0.01
61	E8	-0.01	-0.01	-0.01	-0.01	0.00	0.01
62	E9	0.03	0.02	0.01	0.01	0.01	0.00
63	E10	-0.01	-0.02	-0.02	-0.02	0.01	0.01
64	E11	0.01	0.00	0.01	0.00	0.00	0.01
65	E12	0.02	0.00	0.03	0.01	-0.01	0.02
66	E13	0.00	-0.01	-0.01	-0.02	0.01	0.01
67	F0	0.05	0.00	0.02	-0.02	0.02	0.05
68	F1	0.02	-0.02	0.00	-0.04	0.02	0.04
69	F2	-0.01	-0.01	-0.01	-0.01	0.00	0.01
70	F3	0.01	-0.01	-0.01	-0.03	0.02	0.02
71	F4	-0.01	-0.01	-0.02	-0.02	0.01	0.00
72	F5	-0.02	-0.02	-0.01	0.00	-0.02	-0.01
73	F6	-0.01	-0.02	0.00	0.00	-0.02	0.00
74	F7	-0.01	-0.01	-0.01	-0.01	0.00	0.00
75	F8	-0.01	0.01	-0.02	0.00	0.01	-0.02
76	F9	-0.02	-0.02	-0.01	-0.01	-0.01	-0.01
77	F10	-0.02	-0.01	-0.02	-0.01	0.00	-0.01
78	F11	0.00	0.00	-0.01	-0.01	0.01	0.00
79	F12	-0.02	-0.01	0.00	0.00	-0.02	0.00
80	F13	-0.02	-0.02	0.00	0.00	-0.01	0.00
81	F14	0.01	0.03	0.00	0.02	0.01	-0.01
82	F15	-0.01	-0.01	0.00	0.00	-0.01	0.00
83	F16	0.00	-0.01	0.02	0.01	-0.02	0.01
