KeyRoiName	KeyRoiName	Value	PF
A0#1	B0#4	0.22	True
A0#2	A1#1	0.02	True
A0#3	A1#4	0.03	True
A1#1	A0#2	-0.02	True
A1#2	A2#1	0.08	True
A1#2	B0#3	0.20	True
A1#3	A2#4	0.10	True
A1#4	A0#3	-0.03	True
A2#1	A1#2	-0.08	True
A2#1	B1#4	0.03	True
A2#2	A3#1	0.07	True
A2#2	B1#3	0.04	True
A2#3	A3#4	0.06	True
A2#4	A1#3	-0.10	True
A3#1	A2#2	-0.07	True
A3#1	B2#4	0.06	True
A3#2	A4#1	-0.03	True
A3#2	B2#3	0.04	True
A3#3	A4#6	-0.07	True
A3#4	A2#3	-0.06	True
A4#1	A3#2	0.03	True
A4#1	B3#4	0.04	True
A4#3	A6#1	0.10	True
A4#3	B7#3	0.14	True
A4#4	A6#4	0.09	True
A4#6	A3#3	0.07	True
A6#1	A4#3	-0.10	True
A6#1	B8#4	0.08	True
A6#2	A7#1	0.04	True
A6#2	B8#3	0.04	True
A6#3	A7#4	0.01	True
A6#4	A4#4	-0.09	True
A7#1	A6#2	-0.04	True
A7#1	B9#4	0.05	True
A7#2	A8#1	0.03	True
A7#2	A8#4	0.05	True
A7#2	B9#3	0.04	True
A7#3	A9#1	0.11	True
A7#3	A9#4	0.09	True
A7#4	A6#3	-0.01	True
A8#1	A7#2	-0.03	True
A8#1	B10#4	0.03	True
A8#2	A10#1	-0.09	True
A8#2	A10#4	-0.07	True
A8#2	B10#3	-0.10	True
A8#3	A9#2	-0.04	True
A8#3	A10#1	-0.12	True
A8#3	A10#4	-0.10	True
A8#4	A7#2	-0.05	True
A8#4	A9#1	0.06	True
A9#1	A7#3	-0.11	True
A9#1	A8#4	-0.06	True
A9#2	A8#3	0.04	True
A9#2	A11#1	-0.14	True
A9#2	A11#4	-0.11	True
A9#3	A11#1	-0.12	True
A9#3	A11#4	-0.08	True
A9#4	A7#3	-0.09	True
A10#1	A8#2	0.09	True
A10#1	A8#3	0.12	True
A10#1	B11#4	0.02	True
A10#2	A12#1	-0.03	True
A10#2	A12#4	0.01	True
A10#3	A11#2	-0.13	True
A10#3	A12#1	-0.04	True
A10#3	A12#4	-0.01	True
A10#4	A8#2	0.07	True
A10#4	A8#3	0.10	True
A10#4	A11#1	-0.08	True
A11#1	A9#2	0.14	True
A11#1	A9#3	0.12	True
A11#1	A10#4	0.08	True
A11#2	A10#3	0.13	True
A11#2	A13#1	0.13	True
A11#2	A13#4	0.09	True
A11#3	A13#1	0.11	True
A11#3	A13#4	0.07	True
A11#4	A9#2	0.11	True
A11#4	A9#3	0.08	True
A12#1	A10#2	0.03	True
A12#1	A10#3	0.04	True
A12#2	B11#3	-0.06	True
A12#3	A13#2	-0.11	True
A12#4	A10#2	-0.01	True
A12#4	A10#3	0.01	True
A12#4	A13#1	0.02	True
A13#1	A11#2	-0.13	True
A13#1	A11#3	-0.11	True
A13#1	A12#4	-0.02	True
A13#2	A12#3	0.11	True
A13#4	A11#2	-0.09	True
A13#4	A11#3	-0.07	True
B0#1	C0#4	-0.19	True
B0#2	B1#1	-0.10	True
B0#2	C1#4	-0.03	True
B0#3	A1#2	-0.20	True
B0#3	B1#4	-0.09	True
B0#4	A0#1	-0.22	True
B1#1	B0#2	0.10	True
B1#1	C1#3	0.12	True
B1#2	B2#1	0.06	True
B1#2	C11#4	0.16	True
B1#3	A2#2	-0.04	True
B1#3	B2#4	0.09	True
B1#4	A2#1	-0.03	True
B1#4	B0#3	0.09	True
B2#1	B1#2	-0.06	True
B2#1	C11#3	0.09	True
B2#2	B3#1	0.02	True
B2#2	C12#4	0.13	True
B2#3	A3#2	-0.04	True
B2#3	B3#4	-0.03	True
B2#4	A3#1	-0.06	True
B2#4	B1#3	-0.09	True
B3#1	B2#2	-0.02	True
B3#1	C12#3	0.10	True
B3#2	B4#1	0.02	True
B3#2	C13#4	0.16	True
B3#3	B4#4	0.00	True
B3#4	A4#1	-0.04	True
B3#4	B2#3	0.03	True
B4#1	B3#2	-0.02	True
B4#1	C13#3	0.13	True
B4#2	B5#1	0.05	True
B4#2	C14#4	0.14	True
B4#3	B5#4	0.04	True
B4#4	B3#3	0.00	True
B5#1	B4#2	-0.05	True
B5#1	C14#3	0.13	True
B5#2	B6#1	0.05	True
B5#2	C15#4	0.16	True
B5#3	B6#4	0.03	True
B5#4	B4#3	-0.04	True
B6#1	B5#2	-0.05	True
B6#1	C15#3	0.10	True
B6#2	B7#1	0.00	True
B6#2	C16#4	0.18	True
B6#3	B7#4	0.02	True
B6#4	B5#3	-0.03	True
B7#1	B6#2	0.00	True
B7#1	C16#3	0.18	True
B7#2	B8#1	0.03	True
B7#2	C17#4	0.14	True
B7#3	A4#3	-0.14	True
B7#3	B8#4	0.04	True
B7#4	B6#3	-0.02	True
B8#1	B7#2	-0.03	True
B8#1	C17#3	0.11	True
B8#2	B9#1	0.08	True
B8#2	C18#4	0.13	True
B8#3	A6#2	-0.04	True
B8#3	B9#4	0.05	True
B8#4	A6#1	-0.08	True
B8#4	B7#3	-0.04	True
B9#1	B8#2	-0.08	True
B9#1	C18#3	0.09	True
B9#2	B10#1	0.06	True
B9#2	C19#4	0.15	True
B9#3	A7#2	-0.04	True
B9#3	B10#4	0.02	True
B9#4	A7#1	-0.05	True
B9#4	B8#3	-0.05	True
B10#1	B9#2	-0.06	True
B10#1	C19#3	0.12	True
B10#2	B11#1	0.08	True
B10#2	C20#4	0.09	True
B10#3	A8#2	0.10	True
B10#3	B11#4	0.03	True
B10#4	A8#1	-0.03	True
B10#4	B9#3	-0.02	True
B11#1	B10#2	-0.08	True
B11#1	C20#3	0.00	True
B11#2	C21#3	0.14	True
B11#3	A12#2	0.06	True
B11#4	A10#1	-0.02	True
B11#4	B10#3	-0.03	True
C0#1	D0#4	-0.09	True
C0#2	C1#1	-0.12	True
C0#2	D1#4	-0.05	True
C0#3	C1#4	0.01	True
C0#4	B0#1	0.19	True
C1#1	C0#2	0.12	True
C1#2	C11#1	0.04	True
C1#2	D2#4	0.15	True
C1#3	B1#1	-0.12	True
C1#3	C11#4	0.07	True
C1#4	B0#2	0.03	True
C1#4	C0#3	-0.01	True
C11#1	C1#2	-0.04	True
C11#2	C12#1	0.05	True
C11#2	D3#4	0.15	True
C11#3	B2#1	-0.09	True
C11#3	C12#4	0.01	True
C11#4	B1#2	-0.16	True
C11#4	C1#3	-0.07	True
C12#1	C11#2	-0.05	True
C12#2	C13#1	0.05	True
C12#2	D4#4	0.16	True
C12#3	B3#1	-0.10	True
C12#3	C13#4	0.04	True
C12#4	B2#2	-0.13	True
C12#4	C11#3	-0.01	True
C13#1	C12#2	-0.05	True
C13#1	D4#4	0.11	True
C13#2	C14#1	0.03	True
C13#2	D5#4	0.14	True
C13#3	B4#1	-0.13	True
C13#3	C14#4	0.01	True
C13#4	B3#2	-0.16	True
C13#4	C12#3	-0.04	True
C14#1	C13#2	-0.03	True
C14#1	D5#4	0.11	True
C14#2	C15#1	0.05	True
C14#2	D5#3	0.11	True
C14#2	D6#4	0.14	True
C14#3	B5#1	-0.13	True
C14#3	C15#4	0.06	True
C14#4	B4#2	-0.14	True
C14#4	C13#3	-0.01	True
C15#1	C14#2	-0.05	True
C15#2	C16#1	0.10	True
C15#2	D7#4	0.20	True
C15#3	B6#1	-0.10	True
C15#3	C16#4	0.10	True
C15#4	B5#2	-0.16	True
C15#4	C14#3	-0.06	True
C16#1	C15#2	-0.10	True
C16#1	D7#4	0.10	True
C16#2	C17#1	0.01	True
C16#2	D7#3	0.09	True
C16#2	D8#4	0.07	True
C16#3	B7#1	-0.18	True
C16#3	C17#4	0.03	True
C16#4	B6#2	-0.18	True
C16#4	C15#3	-0.10	True
C17#1	C16#2	-0.01	True
C17#2	C18#1	0.03	True
C17#2	D9#4	0.13	True
C17#3	B8#1	-0.11	True
C17#3	C18#4	0.03	True
C17#4	B7#2	-0.14	True
C17#4	C16#3	-0.03	True
C18#1	C17#2	-0.03	True
C18#1	D9#4	0.09	True
C18#2	C19#1	0.06	True
C18#2	D9#3	0.09	True
C18#2	D10#4	0.17	True
C18#3	B9#1	-0.09	True
C18#3	C19#4	0.06	True
C18#4	B8#2	-0.13	True
C18#4	C17#3	-0.03	True
C19#1	C18#2	-0.06	True
C19#2	C20#1	0.02	True
C19#2	D11#4	0.15	True
C19#3	B10#1	-0.12	True
C19#3	C20#4	0.01	True
C19#4	B9#2	-0.15	True
