Index	Name	1	2	3	4	5	6
1	A0	-0.005	-0.077	-0.092	-0.164	0.087	0.072
2	A1	-0.173	-0.083	-0.053	0.037	-0.12	-0.091
3	A2	0.039	-0.026	0.005	-0.06	0.034	0.065
4	A3	-0.018	-0.009	-0.003	0.006	-0.015	-0.009
5	A4	0.118	-0.001	-0.118	0.052	0.118	0.127	-0.042	0.009	-0.161
6	A6	0.074	0.001	0.016	-0.058	0.058	0.073
7	A7	0.018	-0.012	0	-0.03	0.018	0.03
8	A8	0.19	0.021	0.032	-0.137	0.158	0.169
9	A9	0.047	-0.021	-0.025	-0.092	0.072	0.068
10	A10	0.084	0.019	0.018	-0.048	0.066	0.066
11	A11	0.042	0.033	0.023	0.014	0.019	0.009
12	A12	0.158	0.031	0.037	-0.089	0.12	0.126
13	A13	-0.025	-0.037	-0.023	-0.035	-0.002	0.012
14	B0	-0.087	-0.061	-0.014	0.012	-0.073	-0.026
15	B1	0.031	-0.009	0.004	-0.036	0.027	0.04
16	B2	0	0.035	0.039	0.074	-0.039	-0.035
17	B3	-0.023	-0.014	-0.008	0	-0.015	-0.008
18	B4	-0.017	-0.021	-0.015	-0.02	-0.001	0.004
19	B5	0.002	-0.025	-0.022	-0.049	0.024	0.027
20	B6	-0.005	-0.04	-0.027	-0.063	0.022	0.035
21	B7	0.069	-0.004	-0.001	-0.074	0.07	0.073
22	B8	0.024	0.003	0.016	-0.005	0.008	0.021
23	B9	-0.002	-0.008	-0.005	-0.01	0.003	0.006
24	B10	-0.013	-0.048	-0.046	-0.081	0.033	0.035
25	B11	-0.019	-0.1	-0.089	-0.17	0.07	0.081
26	C0	-0.099	-0.178	-0.135	-0.214	0.036	0.079
27	C1	0.045	-0.011	-0.014	-0.071	0.059	0.056
28	C11	0.004	0.016	0.03	0.043	-0.026	-0.013
29	C12	-0.017	-0.006	0.001	0.012	-0.019	-0.011
30	C13	-0.018	-0.005	-0.017	-0.003	-0.001	-0.014
31	C14	0.003	-0.038	-0.017	-0.058	0.02	0.042
32	C15	-0.014	-0.002	0	0.011	-0.014	-0.012
33	C16	0.003	-0.003	-0.012	-0.018	0.015	0.006
34	C17	0.008	0.007	0.008	0.007	0	0.001
35	C18	0.041	0	0.015	-0.026	0.026	0.041
36	C19	0.036	0.016	0.032	0.011	0.004	0.02
37	C20	0.006	0.018	0.02	0.033	-0.015	-0.013
38	C21	0.068	0.037	-0.035	-0.066	0.103	0.031
39	D0	-0.104	-0.121	-0.115	-0.133	0.011	0.017
40	D1	0.032	-0.014	-0.001	-0.047	0.033	0.046
41	D2	-0.006	-0.003	0.013	0.016	-0.019	-0.003
42	D3	-0.025	-0.033	-0.037	-0.045	0.012	0.008
43	D4	-0.004	-0.004	-0.011	-0.011	0.007	0.001
44	D5	-0.023	-0.045	-0.037	-0.059	0.015	0.022
45	D6	-0.009	-0.03	-0.008	-0.028	-0.002	0.02
46	D7	-0.015	-0.013	-0.003	-0.001	-0.012	-0.002
47	D8	-0.005	-0.035	-0.034	-0.064	0.029	0.03
48	D9	0.012	-0.01	-0.006	-0.029	0.018	0.023
49	D10	0.002	-0.005	0.004	-0.003	-0.002	0.007
50	D11	-0.058	-0.062	-0.056	-0.061	-0.001	0.005
51	D12	-0.089	-0.03	-0.017	0.043	-0.072	-0.059
52	D13	-0.131	-0.159	-0.143	-0.171	0.012	0.027
53	E0	0.017	-0.038	-0.037	-0.092	0.054	0.055
54	E1	0.049	0.014	0.027	-0.008	0.022	0.035
55	E2	0.055	0.029	0.033	0.007	0.022	0.026
56	E3	0.003	0	0.016	0.013	-0.013	0.003
57	E4	-0.002	0.035	0.035	0.072	-0.037	-0.036
58	E5	0.044	0.01	0.02	-0.014	0.024	0.034
59	E6	0.03	0.01	0.019	0	0.011	0.02
60	E7	0.006	-0.001	-0.008	-0.014	0.014	0.006
61	E8	-0.005	-0.009	-0.005	-0.009	0	0.005
62	E9	0.026	0.024	0.014	0.012	0.013	0.002
63	E10	0.021	-0.015	-0.015	-0.05	0.036	0.036
64	E11	-0.048	-0.031	-0.016	0.001	-0.031	-0.017
65	E12	-0.015	0	-0.003	0.011	-0.011	-0.014
66	E13	-0.09	-0.155	-0.133	-0.198	0.043	0.065
67	F0	0.046	0	0.022	-0.023	0.023	0.046
68	F1	0.018	-0.019	-0.001	-0.037	0.018	0.037
69	F2	-0.008	-0.073	-0.035	-0.1	0.027	0.065
70	F3	-0.021	-0.041	-0.042	-0.062	0.021	0.02
71	F4	0.019	-0.041	-0.022	-0.082	0.041	0.06
72	F5	0.038	-0.046	-0.007	-0.091	0.045	0.084
73	F6	-0.014	-0.045	-0.028	-0.059	0.014	0.031
74	F7	0.054	-0.038	-0.006	-0.097	0.06	0.091
75	F8	0.049	-0.021	-0.02	-0.09	0.069	0.07
76	F9	0.006	-0.049	-0.014	-0.069	0.02	0.055
77	F10	-0.02	-0.036	-0.023	-0.038	0.002	0.016
78	F11	0.026	-0.06	-0.043	-0.129	0.069	0.086
79	F12	0.012	-0.044	-0.031	-0.088	0.043	0.057
80	F13	0.015	-0.015	-0.004	-0.034	0.019	0.03
81	F14	0.073	0.027	0.032	-0.015	0.041	0.047
82	F15	0.085	-0.008	-0.028	-0.122	0.113	0.093
83	F16	-0.059	-0.038	-0.042	-0.022	-0.017	-0.021
